order_book_id,2022/12/31,2023/6/30,2023/12/31,2024/6/30,2024/12/31,2025/6/30
1196,8.752,15.3831,23.2471,14.5864,0,0
1197,64.6119,42.5879,58.6765,47.0582,77.3462,67.0641
1198,85.1904,86.9832,73.4503,71.8862,75.3508,84.6175
1201,9.023,10.8791,0,0,0,0
1202,15.8835,18.6872,18.9213,18.6879,17.8855,16.919
1203,8.5948,10.5357,13.4863,14.1891,15.5628,13.7926
1204,8.5948,10.5357,13.4863,14.1891,15.5628,13.7926
1208,54.1808,43.7098,55.2121,48.9292,56.897,52.7761
1209,54.1336,46.932,32.1252,69.0824,55.1968,79.489
1210,70.1359,52.0875,73.7621,76.1978,77.7172,54.958
1215,81.2247,59.8908,59.5956,40.0729,59.659,41.8013
1216,63.2941,70.2459,63.0747,58.0404,53.6578,52.4571
1217,63.2941,70.2459,63.0747,58.0404,53.6578,52.4571
1218,76.2815,49.7227,46.7128,27.9948,55.9858,63.3083
1219,61.2863,75.5486,62.4212,71.9781,60.7919,56.6791
1220,65.4539,41.5084,59.0303,71.1632,57.6984,74.1069
1222,66.2918,71.6707,74.1081,72.5058,69.8805,71.9708
1223,41.1936,50.9752,56.7233,72.2627,33.2059,41.7499
1224,57.7668,51.5519,62.0094,59.427,53.0342,42.0907
1225,57.1591,45.4386,53.643,43.8479,51.8674,46.0383
1226,80.0505,52.3892,54.2808,39.1491,49.0683,54.5744
1227,66.995,40.9053,67.7527,74.0274,66.2214,69.1791
1228,24.343,23.0522,11.7855,0,7.7758,4.6616
1229,62.1287,42.2119,70.6753,82.1849,72.9192,67.3842
1230,85.2469,84.6216,84.6666,94.0143,94.0684,93.1074
1231,15.9267,11.9322,7.9828,8.741,16.404,1.8203
1236,58.6482,45.2351,50.6779,41.5512,56.4284,53.8778
1239,40.5007,58.228,59.0412,69.7884,77.7736,79.1849
1244,54.8062,54.6854,60.6386,56.0715,54.2681,53.4785
1245,84.7484,80.1394,75.2062,68.9274,75.6728,79.0426
1247,6.5962,5.8777,7.3311,7.4941,9.8256,3.6841
1249,8.7472,9.9795,10.222,8.608,9.8595,9.6832
1250,69.5542,24.4656,25.5817,62.7858,61.622,57.0458
1252,23.7214,45.6239,52.9948,55.4304,59.978,57.8522
1254,4.4942,8.4543,27.8227,2.3605,13.3385,12.1844
1255,53.4842,48.9603,41.3551,50.5625,40.7121,62.9025
1256,52.189,49.5917,51.2776,48.4852,50.7259,53.843
1261,66.5151,85.515,62.9363,69.704,42.4813,53.3578
1265,12.1103,17.3919,16.7362,12.2914,7.3546,54.8856
1266,56.3771,50.4746,51.3744,46.7453,62.3031,53.3449
1267,71.5642,56.9863,63.5319,68.8177,78.3364,73.7651
1268,72.4916,78.1803,88.5367,87.9525,92.7304,89.3551
1270,89.5764,69.8819,62.9913,51.8018,60.2178,76.1278
1271,89.5764,69.8819,62.9913,51.8018,60.2178,76.1278
1272,44.1212,60.9665,27.5447,50.7365,54.5624,54.9387
1275,66.6409,57.5182,74.4372,83.8868,77.4404,50.6079
1276,26.6069,57.6104,50.3803,80.0938,37.9904,76.7711
1277,75.0876,44.9132,64.1061,58.6766,74.8447,47.438
1278,79.3179,74.667,76.5678,80.2819,83.6673,76.5781
1279,71.353,65.5417,65.9771,58.6498,71.5173,85.5374
1280,55.5087,67.8928,74.6659,49.6743,49.5202,52.4144
1281,56.4346,58.4073,73.7944,54.8718,76.6981,14.9162
1282,17.5602,20.3,24.2434,20.1113,22.2093,19.8891
1283,61.5762,53.6834,61.1521,0,0,0
1284,61.5762,53.6834,61.1521,0,0,0
1285,9.9318,5.2177,6.4454,3.8903,4.7625,3.4986
1286,9.9318,5.2177,6.4454,3.8903,4.7625,3.4986
1287,66.8845,56.6014,63.0572,57.1757,64.094,60.2318
1289,7.9143,3.2064,2.6572,1.2613,1.9891,2.1986
1291,53.2271,77.3662,39.9371,57.522,45.1064,43.6963
1294,73.85,79.3988,77.2689,73.5739,70.3548,69.1626
1297,63.0949,73.4145,73.8875,76.645,83.5498,74.6265
1298,91.6725,75.6794,73.3726,67.7851,57.6971,49.4866
1300,59.1538,62.5526,59.3876,60.5512,68.3584,44.5203
1301,59.1538,62.5526,59.3876,60.5512,68.3584,44.5203
1302,66.8619,63.9484,62.7771,73.9064,83.999,84.3602
1303,3.5346,1.4273,1.7947,8.4695,20.6685,11.7451
1304,6.7591,43.6524,37.8581,49.0818,50.7509,44.109
